Airport,Rank
ORD,92.29585739882215
DEN,84.36929057543088
ATL,72.94761937075498
ANC,62.243669891049585
LAS,57.96333647317555
LAX,57.09763773750643
DFW,56.04111984234101
IAH,54.83200535266908
PHX,51.84812336289454
BET,50.2884849818681
MSP,49.2961398552913
MCO,48.83296756397376
EWR,48.538933857174165
MIA,47.17505286805758
SEA,45.80885710901013
CLT,45.20626534728847
DTW,42.22407829012175
FAI,40.43591252149937
PHL,38.62962548905028
SLC,36.24572135427368
MEM,35.27954670900373
SFO,34.59839814908686
FLL,34.427419176423825
TPA,34.427164941385236
SDF,33.53513435646745
IAD,33.47632779097182
BOS,31.58732357428276
BNA,30.95644061635851
JFK,29.751095548148918
AUS,28.768355182563518
CVG,28.764368273107173
WFB,28.01394372810517
PDX,27.059327431759698
IND,27.004467203183953
BWI,26.718221695629424
DCA,26.462857674400425
SAN,21.33789226529835
MSY,21.269303113404796
STL,21.00135205964936
LGA,20.693658454564314
RSW,20.60381731805968
RDU,19.794155737225815
OME,19.6388709738822
MDW,19.30046329614019
DAL,18.938465544466982
OTZ,17.774546394241344
OAK,17.633287559043207
SAT,17.200968648419874
A43,16.807318207539375
PIT,16.804462252197798
MCI,16.777954071497916
ONT,16.690280298848375
HOU,16.396390475853227
CLE,15.672727830611587
HNL,15.325636678864603
CMH,14.901688216059478
SJC,14.799229057267146
MKE,14.463123045265146
SMF,14.394006258001133
JNU,14.160680588618762
SJU,13.738129444291863
PBI,13.13083880659272
JAX,12.293302309412088
SRQ,12.069666364647292
ADQ,11.529965208249587
SNA,10.919794478859806
AKN,10.791557586375987
RNO,10.763833915907735
BDL,10.667141359873636
RIC,10.321663151570757
CHS,10.039475466358569
BUF,9.653671606565426
OKC,9.638902486950117
OMA,9.552259022547743
SFB,9.462025659166496
ELP,9.461491316000332
BOI,9.420036406128201
ANI,9.061039982280304
OGG,8.789391952115214
GAL,8.741850956348983
GRR,8.727213189592296
HPN,8.671515817100948
KSM,8.658402404237677
ABQ,8.647327245813585
DLG,8.417778184506199
UNK,8.413849614967118
DSM,8.280528517091382
ORF,8.191355590397086
BUR,8.186710585108745
GEG,8.05194584527002
TUS,8.038182952979648
EMK,7.967800812651239
TUL,7.9562527310439135
PSP,7.823348846798524
AZA,7.818958395510873
VNY,7.723051668098777
BZN,7.689725184648717
SYR,7.6821834559887305
PVD,7.552562223638924
PIE,7.413986162360035
GSO,7.308624136596194
KOA,7.057380267203407
TYS,6.881094782209167
GSP,6.849829819569723
BHM,6.660160459203631
DUT,6.370229928883253
BLD,6.338870423484667
SCC,6.331475928862669
YIP,6.324101567582807
MSN,6.260770288406628
TEB,6.0255564062569515
LGB,5.891986716592973
AFW,5.833530251545012
RFD,5.796086280886613
SAV,5.701177211690233
MRI,5.687131335701237
ALB,5.545116837858724
ACY,5.469550912258309
HSL,5.465001117285225
GPT,5.4398795709103185
LIT,5.402513915566218
COS,5.354031962229777
MDT,5.294137483516086
ICT,5.1960082431621615
XNA,5.160248697417034
FAT,4.9375024530187
SIT,4.930971401015269
HOM,4.90159283832759
ROC,4.819771537531101
CDB,4.747292334697553
FYU,4.7304204908800855
MLL,4.6794709763844775
MYR,4.655511640518269
CID,4.5503727475892415
IFP,4.512442376941852
PGD,4.508518968022605
ALZ,4.497483396650409
FSD,4.365873083353773
BRW,4.333931980392389
RBY,4.326526794193332
LKE,4.308600057920725
PQS,4.301606025136346
OOK,4.207542070848627
HRL,4.18426668301962
FAR,4.177413269554433
LRD,4.109435097532539
AKP,4.101448501106384
LBB,4.092715435065501
KKB,4.0657384889285835
SBA,4.058508884364261
SBN,4.047730558546342
PNS,4.0216853751613995
KWN,3.9790402205475033
ENA,3.961016589663219
CAE,3.944932358451649
SSB,3.9379428578199227
SPB,3.9379428578199227
BID,3.9379428578199227
WST,3.9379428578199227
PHO,3.9220929790424504
LIH,3.8531120555772724
STT,3.851308446886823
WTL,3.801353183880303
HSV,3.704280335228494
RDB,3.7019479973274487
1G4,3.6541307310335998
OPF,3.6536776150792187
EYW,3.6350901099046222
TNK,3.626439442997292
ATT,3.595205992856249
ORV,3.5908029569942133
SHG,3.571574671684103
PWM,3.533745675934678
NUL,3.5322780410386363
LEX,3.514608714961665
KCC,3.5138896392252517
WWP,3.4950497495673987
SPN,3.4632929859221817
TLH,3.434506325204846
WTK,3.4194853377593377
KOT,3.4028999051044755
RSH,3.3965659275605993
MHT,3.3927766089409452
AEX,3.3886388850518454
AUK,3.380103938437122
DGB,3.365139964905138
EUG,3.360771324720774
KTN,3.35980683386411
BED,3.31080511377941
SGF,3.2884626493787525
KKH,3.282521085488075
NUP,3.2533879115163704
KUK,3.1760444712307105
HYG,3.166351858156299
KPN,3.158211137228268
VEE,3.1477325311634052
FWA,3.147689933527228
EEK,3.134877516265379
MCG,3.0914876787749273
SHV,3.0844002659353458
SCM,3.074671687653402
PPV,3.0263590237512474
KAL,2.9982032647768113
AOS,2.9893415288535197
KZB,2.9893415288535197
AVL,2.9608849957926733
BTR,2.93753046535029
DOF,2.928079348298067
MAF,2.9226831165159934
HDN,2.91868714613777
BIL,2.915938443338174
ABL,2.9019016136005673
MOU,2.8627286649683867
RDM,2.838330526130513
CYF,2.819800510906039
WLK,2.817713429265293
DAY,2.803881913057181
ASE,2.8027019408205267
MFR,2.7903221467978407
ARC,2.7781938343016352
HPB,2.777512018082475
ABE,2.7748291404183405
LCK,2.753068124382556
BTV,2.7331023539796777
JAC,2.7208469575475256
BVU,2.715302548514273
KKA,2.687043102405685
SVA,2.673734955799334
UGI,2.671808496497911
KEH,2.671455472347878
KLL,2.669486956937128
GTF,2.6595871388722587
KWT,2.658032427599201
SMK,2.6398287210536937
WBB,2.6297114567886926
BTI,2.6231711914410574
GAM,2.612761481816047
SHH,2.6104387264214144
WWT,2.5989415733388648
KKI,2.597131417092825
SXP,2.5842064600139545
BFI,2.58112865592527
MFE,2.552541153972196
GRB,2.5510519414706083
KVL,2.5339556297313557
CHA,2.5124547867920843
IAN,2.509835723458087
MTJ,2.5058032828220274
MQY,2.4963960889151577
GUM,2.4771130405666866
NME,2.4764773645270877
SOV,2.466366498722047
VPS,2.455855625994372
BKC,2.455004704719984
CGA,2.4447995945117094
KTB,2.4447995945117094
WHD,2.4447995945117094
EDA,2.4447995945117094
HYL,2.4447995945117094
MTM,2.4447995945117094
JAN,2.436563500526883
SCE,2.4142492309152064
GNV,2.3853615113732833
SNP,2.339972552898143
ROA,2.323779328718357
EGE,2.301958252034057
TYE,2.2856346871294506
ECP,2.2726435813677934
AET,2.2644132996140183
EGX,2.2393394985777118
SKK,2.2351558386502632
CHO,2.2273753338889373
GST,2.1972901972405334
KWK,2.1937773276973735
YAK,2.188309663613389
IDA,2.183748088662593
KPY,2.1714271423448577
ISP,2.1680261391457973
GJT,2.1619905050803103
OBU,2.160462193324668
KTS,2.1385459542284417
ATW,2.126150178442071
KPR,2.122713327347604
FCA,2.122260232024833
TLT,2.1199534463235867
FBS,2.1024228522202537
KXA,2.0883049824855346
WNA,2.071028191703878
PGM,2.0680192613875454
STS,2.0602648336146596
MRY,2.0341709179950036
PSG,2.018595277098164
SYB,2.008369489267437
KYU,2.0080162605473073
STX,1.9889928688401852
SBD,1.9830883521730376
SVS,1.9821591062835402
PTH,1.9809288087821764
KLW,1.9685435180091353
ORI,1.9641072979096714
NKI,1.9439945297566164
PIP,1.9337375861843609
MSO,1.9290878586609794
PIA,1.899232991211878
PSC,1.8918657517709343
ELI,1.862475424638833
ROP,1.841893786093596
ILM,1.8260048747952324
GCN,1.8208274189415008
TIQ,1.8024492506345429
RMP,1.799486410739516
KWP,1.7923080650456686
UGS,1.7820590212154492
MLI,1.776172509811165
TOG,1.7691458655824543
AKI,1.7641619199723915
7AK,1.7630508076777516
KLN,1.7439413957074226
CDV,1.7053471330835381
ILN,1.7039144437606482
LAN,1.6891282863685877
TKJ,1.682353070037
TAL,1.6648430890490378
MLB,1.6609890832678686
SWF,1.6562291607498139
WMK,1.6553736242987807
CAK,1.650433767037897
SDP,1.6488553198242089
TOL,1.6442551756740638
KEB,1.6434119029979535
HUS,1.635778596694288
HKB,1.6344842469606398
FNT,1.6291496117308033
BTT,1.6033353488664077
SGY,1.5963642108513496
CPS,1.5937508084456233
ILI,1.5688063557832903
TTN,1.543876375563627
HHR,1.5347063366612486
BIS,1.5266069822336996
WAA,1.5134306237020725
EHR,1.5082268055092332
06A,1.5082268055092332
TLA,1.5081018684127898
KLG,1.50705392305286
HCR,1.5067292652156357
NIB,1.4983203349743663
TCL,1.4940459278176776
AMA,1.4823786161808556
LAL,1.470834676971762
BGR,1.4662592539361547
HNS,1.465307616524605
CRP,1.4640887270432958
PAE,1.4569987128800805
RCE,1.4489859486005927
KCQ,1.447409224149272
DRG,1.4378524611936416
KOZ,1.4369568707845821
PTU,1.4327850338692518
GNU,1.4242775568502692
EVV,1.4222199779992684
SBP,1.4210984397446134
CLP,1.4126007859830323
AKK,1.3951701041084068
STG,1.3948075926753765
COU,1.3924705332316982
CSG,1.391517025058015
TEK,1.3902739449634933
KCG,1.3867205118869976
KPV,1.3867205118869974
APF,1.3841752321281149
WMO,1.3767514902467388
BLI,1.3625105840907834
PVU,1.3522049571948063
DHB,1.3481199943484306
HNH,1.3422403700636036
KGX,1.3400312819342166
